concept_id,concept_name,domain_id,vocabulary_id,concept_class_id,standard_concept,concept_code,valid_start_date,valid_end_date,invalid_reason
2000000001,Screening Visit 1,Visit,PIONEER,Undefined,S,1,1970-01-01,2099-12-31,
2000000002,Screening Visit 2,Visit,PIONEER,Undefined,S,2,1970-01-01,2099-12-31,
2000000003,Screening Visit 3,Visit,PIONEER,Undefined,S,3,1970-01-01,2099-12-31,
2000000004,Screening Visit 4,Visit,PIONEER,Undefined,S,4,1970-01-01,2099-12-31,
2000000005,Screening Visit 5,Visit,PIONEER,Undefined,S,5,1970-01-01,2099-12-31,
2000000006,Early recall,Visit,PIONEER,Undefined,S,6,1970-01-01,2099-12-31,
2000000007,Assigned to intervention trial arm,Observation,PIONEER,Undefined,S,7,1970-01-01,2099-12-31,
2000000008,Assigned to control trial arm,Observation,PIONEER,Undefined,S,8,1970-01-01,2099-12-31,
2000000009,Death Before Randomization,Observation,PIONEER,Undefined,S,9,1970-01-01,2099-12-31,
2000000010,Cancer Before Randomization,Observation,PIONEER,Undefined,S,10,1970-01-01,2099-12-31,
2000000011,Early recall scheduled,Observation,PIONEER,Undefined,S,11,1970-01-01,2099-12-31,
2000000012,Screening not attended,Observation,PIONEER,Undefined,S,12,1970-01-01,2099-12-31,
2000000013,Biopsy or assessment recommended,Observation,PIONEER,Undefined,S,13,1970-01-01,2099-12-31,
2000000014,No sample collected due to participant refusal,Observation,PIONEER,Undefined,S,14,1970-01-01,2099-12-31,
2000000015,No sample collected due to major risk of bleeding,Observation,PIONEER,Undefined,S,15,1970-01-01,2099-12-31,
2000000016,Neoadjuvant endocrine therapy,Procedure,PIONEER,Undefined,S,16,1970-01-01,2099-12-31,
2000000017,Pharmacological endocrine therapy,Procedure,PIONEER,Undefined,S,17,1970-01-01,2099-12-31,
2000000018,Surgical endocrine therapy,Procedure,PIONEER,Undefined,S,18,1970-01-01,2099-12-31,
2000000019,Adjuvant radiotherapy,Procedure,PIONEER,Undefined,S,19,1970-01-01,2099-12-31,
2000000020,"Radiotherapy, Other",Procedure,PIONEER,Undefined,S,20,1970-01-01,2099-12-31,
2000000021,Total PSA level - post operative,Measurement,PIONEER,Undefined,S,21,1970-01-01,2099-12-31,
2000000022,Prostate Health Index,Measurement,PIONEER,Undefined,S,22,1970-01-01,2099-12-31,
2000000023,Infection occurred after biopsy,Observation,PIONEER,Undefined,S,23,1970-01-01,2099-12-31,
2000000024,Antibiotic resistance,Measurement,PIONEER,Undefined,S,24,1970-01-01,2099-12-31,
2000000025,Nitrofuran,Measurement,PIONEER,Undefined,S,25,1970-01-01,2099-12-31,
2000000026,Pain after biopsy,Condition,PIONEER,Undefined,S,26,1970-01-01,2099-12-31,
2000000027,Size of prostate cancer in biopt,Measurement,PIONEER,Undefined,S,27,1970-01-01,2099-12-31,
2000000028,PI-RADS score,Measurement,PIONEER,Undefined,S,28,1970-01-01,2099-12-31,
2000000029,3: cancer is equivocal,Meas Value,PIONEER,Undefined,D,29,1970-01-01,2099-12-31,
2000000030,4: cancer is likely,Meas Value,PIONEER,Undefined,D,30,1970-01-01,2099-12-31,
2000000031,5: cancer is very likely,Meas Value,PIONEER,Undefined,D,31,1970-01-01,2099-12-31,
2000000032,1: Higher overall PIRADS,Observation,PIONEER,Undefined,D,32,1970-01-01,2099-12-31,
2000000033,2: More lesions with PIRADS>=3,Observation,PIONEER,Undefined,D,33,1970-01-01,2099-12-31,
2000000034,3: Size progression,Observation,PIONEER,Undefined,D,34,1970-01-01,2099-12-31,
2000000035,4: No change,Observation,PIONEER,Undefined,D,35,1970-01-01,2099-12-31,
2000000036,11: Lesions no longer visible,Observation,PIONEER,Undefined,D,36,1970-01-01,2099-12-31,
2000000037,12: Reduction in lesions size or level of suspicion,Observation,PIONEER,Undefined,D,37,1970-01-01,2099-12-31,
2000000038,13: No change,Observation,PIONEER,Undefined,D,38,1970-01-01,2099-12-31,
2000000039,14: Increase in size or in level of suspicion,Observation,PIONEER,Undefined,D,39,1970-01-01,2099-12-31,
2000000040,15: Radiologic stage progression,Observation,PIONEER,Undefined,D,40,1970-01-01,2099-12-31,
2000000041,PSA doubling time,Measurement,PIONEER,Undefined,S,41,1970-01-01,2099-12-31,
2000000042,Visual targeting of MRI lesions,Procedure,PIONEER,Undefined,S,42,1970-01-01,2099-12-31,
2000000043,Software targeting of MRI lesions,Procedure,PIONEER,Undefined,S,43,1970-01-01,2099-12-31,
2000000044,In-bore targeting of MRI lesions,Procedure,PIONEER,Undefined,S,44,1970-01-01,2099-12-31,
2000000045,Prostate MRI ellipsoid,Measurement,PIONEER,Undefined,S,45,1970-01-01,2099-12-31,
2000000046,Prostate MRI segmentation,Measurement,PIONEER,Undefined,S,46,1970-01-01,2099-12-31,
2000000047,Prostate MRI volume,Measurement,PIONEER,Undefined,S,47,1970-01-01,2099-12-31,
2000000048,Baseline Visit,Visit,PIONEER,Undefined,S,48,1970-01-01,2099-12-31,
2000000049,Follow-up Visit 1,Visit,PIONEER,Undefined,S,49,1970-01-01,2099-12-31,
2000000050,Follow-up Visit 2,Visit,PIONEER,Undefined,S,50,1970-01-01,2099-12-31,
2000000051,Follow-up Visit 3,Visit,PIONEER,Undefined,S,51,1970-01-01,2099-12-31,
2000000052,Follow-up Visit 4,Visit,PIONEER,Undefined,S,52,1970-01-01,2099-12-31,
2000000053,Follow-up Visit 5,Visit,PIONEER,Undefined,S,53,1970-01-01,2099-12-31,
2000000054,Follow-up Visit 6,Visit,PIONEER,Undefined,S,54,1970-01-01,2099-12-31,
2000000055,Follow-up Visit 7,Visit,PIONEER,Undefined,S,55,1970-01-01,2099-12-31,
2000000056,Follow-up Visit 8,Visit,PIONEER,Undefined,S,56,1970-01-01,2099-12-31,
2000000057,Follow-up Visit 9,Visit,PIONEER,Undefined,S,57,1970-01-01,2099-12-31,
2000000058,Follow-up Visit 10,Visit,PIONEER,Undefined,S,58,1970-01-01,2099-12-31,
2000000059,Follow-up Visit 11,Visit,PIONEER,Undefined,S,59,1970-01-01,2099-12-31,
2000000060,Follow-up Visit 12,Visit,PIONEER,Undefined,S,60,1970-01-01,2099-12-31,
2000000061,Follow-up Visit 13,Visit,PIONEER,Undefined,S,61,1970-01-01,2099-12-31,
2000000062,Follow-up Visit 14,Visit,PIONEER,Undefined,S,62,1970-01-01,2099-12-31,
2000000063,Follow-up Visit 15,Visit,PIONEER,Undefined,S,63,1970-01-01,2099-12-31,
2000000064,Follow-up Visit 16,Visit,PIONEER,Undefined,S,64,1970-01-01,2099-12-31,
2000000065,Follow-up Visit 17,Visit,PIONEER,Undefined,S,65,1970-01-01,2099-12-31,
2000000066,Follow-up Visit 18,Visit,PIONEER,Undefined,S,66,1970-01-01,2099-12-31,
2000000067,Follow-up Visit 19,Visit,PIONEER,Undefined,S,67,1970-01-01,2099-12-31,
2000000068,Follow-up Visit 20,Visit,PIONEER,Undefined,S,68,1970-01-01,2099-12-31,
2000000069,Follow-up Visit 21,Visit,PIONEER,Undefined,S,69,1970-01-01,2099-12-31,
2000000070,Follow-up Visit 22,Visit,PIONEER,Undefined,S,70,1970-01-01,2099-12-31,
2000000071,Follow-up Visit 23,Visit,PIONEER,Undefined,S,71,1970-01-01,2099-12-31,
2000000072,Follow-up Visit 24,Visit,PIONEER,Undefined,S,72,1970-01-01,2099-12-31,
2000000073,Follow-up Visit 25,Visit,PIONEER,Undefined,S,73,1970-01-01,2099-12-31,
2000000074,Follow-up Visit 26,Visit,PIONEER,Undefined,S,74,1970-01-01,2099-12-31,
2000000075,Follow-up Visit 27,Visit,PIONEER,Undefined,S,75,1970-01-01,2099-12-31,
2000000076,Follow-up Visit 28,Visit,PIONEER,Undefined,S,76,1970-01-01,2099-12-31,
2000000077,Follow-up Visit 29,Visit,PIONEER,Undefined,S,77,1970-01-01,2099-12-31,
2000000078,Follow-up Visit 30,Visit,PIONEER,Undefined,S,78,1970-01-01,2099-12-31,
2000000079,Follow-up Visit 31,Visit,PIONEER,Undefined,S,79,1970-01-01,2099-12-31,
2000000080,Follow-up Visit 32,Visit,PIONEER,Undefined,S,80,1970-01-01,2099-12-31,
2000000081,Follow-up Visit 33,Visit,PIONEER,Undefined,S,81,1970-01-01,2099-12-31,
2000000082,Follow-up Visit 34,Visit,PIONEER,Undefined,S,82,1970-01-01,2099-12-31,
2000000083,Follow-up Visit 35,Visit,PIONEER,Undefined,S,83,1970-01-01,2099-12-31,
2000000084,Follow-up Visit 36,Visit,PIONEER,Undefined,S,84,1970-01-01,2099-12-31,
2000000085,Follow-up Visit 37,Visit,PIONEER,Undefined,S,85,1970-01-01,2099-12-31,
2000000086,Follow-up Visit 38,Visit,PIONEER,Undefined,S,86,1970-01-01,2099-12-31,
2000000087,Baseline Visit - MRI,Visit,PIONEER,Undefined,S,87,1970-01-01,2099-12-31,
2000000088,Follow-up Visit 1 - MRI,Visit,PIONEER,Undefined,S,88,1970-01-01,2099-12-31,
2000000089,Follow-up Visit 2 - MRI,Visit,PIONEER,Undefined,S,89,1970-01-01,2099-12-31,
2000000090,Follow-up Visit 3 - MRI,Visit,PIONEER,Undefined,S,90,1970-01-01,2099-12-31,
2000000091,Follow-up Visit 4 - MRI,Visit,PIONEER,Undefined,S,91,1970-01-01,2099-12-31,
2000000092,Follow-up Visit 5 - MRI,Visit,PIONEER,Undefined,S,92,1970-01-01,2099-12-31,
2000000093,Follow-up Visit 6 - MRI,Visit,PIONEER,Undefined,S,93,1970-01-01,2099-12-31,
2000000094,Follow-up Visit 7 - MRI,Visit,PIONEER,Undefined,S,94,1970-01-01,2099-12-31,
2000000095,Follow-up Visit 8 - MRI,Visit,PIONEER,Undefined,S,95,1970-01-01,2099-12-31,
2000000096,Follow-up Visit 9 - MRI,Visit,PIONEER,Undefined,S,96,1970-01-01,2099-12-31,
2000000097,Follow-up Visit 10 - MRI,Visit,PIONEER,Undefined,S,97,1970-01-01,2099-12-31,
2000000098,Follow-up Visit 11 - MRI,Visit,PIONEER,Undefined,S,98,1970-01-01,2099-12-31,
2000000099,Follow-up Visit 12 - MRI,Visit,PIONEER,Undefined,S,99,1970-01-01,2099-12-31,
2000000100,Follow-up Visit 13 - MRI,Visit,PIONEER,Undefined,S,100,1970-01-01,2099-12-31,
2000000101,Follow-up Visit 14 - MRI,Visit,PIONEER,Undefined,S,101,1970-01-01,2099-12-31,
2000000102,Follow-up Visit 15 - MRI,Visit,PIONEER,Undefined,S,102,1970-01-01,2099-12-31,
2000000103,Follow-up Visit 16 - MRI,Visit,PIONEER,Undefined,S,103,1970-01-01,2099-12-31,
2000000104,Follow-up Visit 17 - MRI,Visit,PIONEER,Undefined,S,104,1970-01-01,2099-12-31,
2000000105,Follow-up Visit 18 - MRI,Visit,PIONEER,Undefined,S,105,1970-01-01,2099-12-31,
2000000106,Follow-up Visit 19 - MRI,Visit,PIONEER,Undefined,S,106,1970-01-01,2099-12-31,
2000000107,Follow-up Visit 20 - MRI,Visit,PIONEER,Undefined,S,107,1970-01-01,2099-12-31,
2000000108,Follow-up Visit 21 - MRI,Visit,PIONEER,Undefined,S,108,1970-01-01,2099-12-31,
2000000109,Follow-up Visit 22 - MRI,Visit,PIONEER,Undefined,S,109,1970-01-01,2099-12-31,
2000000110,Follow-up Visit 23 - MRI,Visit,PIONEER,Undefined,S,110,1970-01-01,2099-12-31,
2000000111,Follow-up Visit 24 - MRI,Visit,PIONEER,Undefined,S,111,1970-01-01,2099-12-31,
2000000112,Follow-up Visit 25 - MRI,Visit,PIONEER,Undefined,S,112,1970-01-01,2099-12-31,
2000000113,Follow-up Visit 26 - MRI,Visit,PIONEER,Undefined,S,113,1970-01-01,2099-12-31,
2000000114,Follow-up Visit 27 - MRI,Visit,PIONEER,Undefined,S,114,1970-01-01,2099-12-31,
2000000115,Follow-up Visit 28 - MRI,Visit,PIONEER,Undefined,S,115,1970-01-01,2099-12-31,
2000000116,Follow-up Visit 29 - MRI,Visit,PIONEER,Undefined,S,116,1970-01-01,2099-12-31,
2000000117,Follow-up Visit 30 - MRI,Visit,PIONEER,Undefined,S,117,1970-01-01,2099-12-31,
2000000118,Follow-up Visit 31 - MRI,Visit,PIONEER,Undefined,S,118,1970-01-01,2099-12-31,
2000000119,Follow-up Visit 32 - MRI,Visit,PIONEER,Undefined,S,119,1970-01-01,2099-12-31,
2000000120,Follow-up Visit 33 - MRI,Visit,PIONEER,Undefined,S,120,1970-01-01,2099-12-31,
2000000121,Follow-up Visit 34 - MRI,Visit,PIONEER,Undefined,S,121,1970-01-01,2099-12-31,
2000000122,Follow-up Visit 35 - MRI,Visit,PIONEER,Undefined,S,122,1970-01-01,2099-12-31,
2000000123,Follow-up Visit 36 - MRI,Visit,PIONEER,Undefined,S,123,1970-01-01,2099-12-31,
2000000124,Follow-up Visit 37 - MRI,Visit,PIONEER,Undefined,S,124,1970-01-01,2099-12-31,
2000000125,Follow-up Visit 38 - MRI,Visit,PIONEER,Undefined,S,125,1970-01-01,2099-12-31,
2000000126,Screening visit,Visit,PIONEER,Undefined,S,126,1970-01-01,2099-12-31,
2000000127,Follow-up visit,Visit,PIONEER,Undefined,S,127,1970-01-01,2099-12-31,
2000000128,Scheduled visit,Visit,PIONEER,Undefined,S,128,1970-01-01,2099-12-31,
2000000129,Unscheduled visit,Visit,PIONEER,Undefined,S,129,1970-01-01,2099-12-31,
2000000130,Absolute change from nadir,Measurement,PIONEER,Undefined,S,130,1970-01-01,2099-12-31,
2000000131,New lesions compared to previous scan,Measurement,PIONEER,Undefined,S,131,1970-01-01,2099-12-31,
2000000132,Percent change from baseline,Measurement,PIONEER,Undefined,S,132,1970-01-01,2099-12-31,
2000000133,Non target lesion size,Measurement,PIONEER,Undefined,S,133,1970-01-01,2099-12-31,
2000000134,Percent change from nadir,Measurement,PIONEER,Undefined,S,134,1970-01-01,2099-12-31,
2000000135,Bone lesion count,Measurement,PIONEER,Undefined,S,135,1970-01-01,2099-12-31,
2000000136,Bone new lesion count,Measurement,PIONEER,Undefined,S,136,1970-01-01,2099-12-31,
2000000137,Sum of diameters,Measurement,PIONEER,Undefined,S,137,1970-01-01,2099-12-31,
2000000138,Timepoint sum of diameters,Measurement,PIONEER,Undefined,S,138,1970-01-01,2099-12-31,
2000000139,Timepoint sum of non-nodal diameters,Measurement,PIONEER,Undefined,S,139,1970-01-01,2099-12-31,
2000000140,Lesion assessment,Measurement,PIONEER,Undefined,S,140,1970-01-01,2099-12-31,
2000000141,New bone lesion number,Measurement,PIONEER,Undefined,S,141,1970-01-01,2099-12-31,
2000000142,Bone lesion number per site,Measurement,PIONEER,Undefined,S,142,1970-01-01,2099-12-31,
2000000143,Non-target,Measurement,PIONEER,Undefined,S,143,1970-01-01,2099-12-31,
2000000144,Target,Measurement,PIONEER,Undefined,S,144,1970-01-01,2099-12-31,
2000000145,Tumor identification,Measurement,PIONEER,Undefined,S,145,1970-01-01,2099-12-31,
2000000146,Tracer uptake related to disease,Measurement,PIONEER,Undefined,S,146,1970-01-01,2099-12-31,
2000000147,GCP Breach,Observation,PIONEER,Undefined,S,147,1970-01-01,2099-12-31,
2000000148,Procedure Violation,Observation,PIONEER,Undefined,S,148,1970-01-01,2099-12-31,
2000000149,Rando/Treat Allocation Process Violation,Observation,PIONEER,Undefined,S,149,1970-01-01,2099-12-31,
2000000150,Eligibility Criteria Violation,Observation,PIONEER,Undefined,S,150,1970-01-01,2099-12-31,
2000000151,Prohibited Concominant Medication,Observation,PIONEER,Undefined,S,151,1970-01-01,2099-12-31,
2000000152,Withdrawal Criteria Violation,Observation,PIONEER,Undefined,S,152,1970-01-01,2099-12-31,
2000000153,Overall Response,Observation,PIONEER,Undefined,S,153,1970-01-01,2099-12-31,
2000000154,Symptomatic Progression,Observation,PIONEER,Undefined,S,154,1970-01-01,2099-12-31,
2000000155,Disease Stable or Progressive,Observation,PIONEER,Undefined,S,155,1970-01-01,2099-12-31,
2000000156,Evaluation of Non-Target Lesions,Observation,PIONEER,Undefined,S,156,1970-01-01,2099-12-31,
2000000157,Evaluation of Target Lesions,Observation,PIONEER,Undefined,S,157,1970-01-01,2099-12-31,
2000000158,Overall Bone Scan Assessment,Observation,PIONEER,Undefined,S,158,1970-01-01,2099-12-31,
2000000159,Overall Tumor Response Assessment,Observation,PIONEER,Undefined,S,159,1970-01-01,2099-12-31,
2000000160,Has Patient Progressed Radiologically,Observation,PIONEER,Undefined,S,160,1970-01-01,2099-12-31,
2000000161,Non-target Response,Observation,PIONEER,Undefined,S,161,1970-01-01,2099-12-31,
2000000162,Progression PCWG2 Criteria,Observation,PIONEER,Undefined,S,162,1970-01-01,2099-12-31,
2000000163,Progression RECIST 1.1,Observation,PIONEER,Undefined,S,163,1970-01-01,2099-12-31,
2000000164,Spinal Cord Compression or Path Fracture,Observation,PIONEER,Undefined,S,164,1970-01-01,2099-12-31,
2000000165,Quality Issues Objective Tumor Response,Observation,PIONEER,Undefined,S,165,1970-01-01,2099-12-31,
2000000166,Quality Issues Bone,Observation,PIONEER,Undefined,S,166,1970-01-01,2099-12-31,
2000000167,Assess Nodal/ Non-Nodal Target Lesions,Observation,PIONEER,Undefined,S,167,1970-01-01,2099-12-31,
2000000168,Pharmacokinetic study of Tasquinimod,Measurement,PIONEER,Undefined,S,168,1970-01-01,2099-12-31,
2000000169,Lesion diameter,Measurement,PIONEER,Undefined,S,169,1970-01-01,2099-12-31,
2000000170,Earliest scan date for the visit,Observation,PIONEER,Undefined,S,170,1970-01-01,2099-12-31,
2000000171,Latest scan date for the visit,Observation,PIONEER,Undefined,S,171,1970-01-01,2099-12-31,
2000000172,Earliest scan date for timepoint of BSP,Observation,PIONEER,Undefined,S,172,1970-01-01,2099-12-31,
2000000173,Earliest scan date for timepoint of SEP,Observation,PIONEER,Undefined,S,173,1970-01-01,2099-12-31,
2000000174,Overall bone scan assessment date,Observation,PIONEER,Undefined,S,174,1970-01-01,2099-12-31,
2000000175,Overall tumor response date,Observation,PIONEER,Undefined,S,175,1970-01-01,2099-12-31,
2000000176,Date of Overall Assessment,Observation,PIONEER,Undefined,S,176,1970-01-01,2099-12-31,
2000000177,Radiological Progression Date,Observation,PIONEER,Undefined,S,177,1970-01-01,2099-12-31,
2000000178,Symptomatic Progression Date,Observation,PIONEER,Undefined,S,178,1970-01-01,2099-12-31,
2000000179,No new lesions,Meas Value,PIONEER,Undefined,S,179,1970-01-01,2099-12-31,
2000000180,Unequivocal,Meas Value,PIONEER,Undefined,S,180,1970-01-01,2099-12-31,
2000000181,Optical Clot detection,Measurement,PIONEER,Undefined,S,181,1970-01-01,2099-12-31,
2000000182,Volume Conductivity Scatter,Measurement,PIONEER,Undefined,S,182,1970-01-01,2099-12-31,
2000000183,Electronic Impedance,Measurement,PIONEER,Undefined,S,183,1970-01-01,2099-12-31,
2000000184,Is one of first 500 patients,Observation,PIONEER,Undefined,S,184,1970-01-01,2099-12-31,
2000000185,Radiological Progression Date,Observation,PIONEER,Undefined,S,177,1970-01-01,2099-12-31,
2000000186,Symptomatic Progression Date,Observation,PIONEER,Undefined,S,178,1970-01-01,2099-12-31,
2000000187,BCR free years,Observation,PIONEER,Undefined,S,179,2019-01-01,2099-12-31,
2000000188,Non attendance for screening,Observation,PIONEER,Undefined,S,169,1970-01-01,2099-12-31,
2000000189,Intercurrent death,Condition,PIONEER,Undefined,S,170,1970-01-01,2099-12-31,
2000000190,Intervention related death,Condition,PIONEER,Undefined,S,171,1970-01-01,2099-12-31,
2000000191,Death unlikely due to prostate cancer,Condition,PIONEER,Undefined,S,172,1970-01-01,2099-12-31,
2000000192,Intercurrent death but prostate cancer has a contributory role,Condition,PIONEER,Undefined,S,173,1970-01-01,2099-12-31,
2000000193,Death possibly due to prostate cancer,Condition,PIONEER,Undefined,S,174,1970-01-01,2099-12-31,
2000000194,Death probably due to prostate cancer,Condition,PIONEER,Undefined,S,175,1970-01-01,2099-12-31,
2000000195,Death definitely due to prostate cancer,Condition,PIONEER,Undefined,S,176,1970-01-01,2099-12-31,